,Price,Year,Rating,Mileage,Rating-Count,Name,Status,model_details
0,79990.0,2018,4.7,7399,153,Porsche,Good,Porsche 718 Cayman S
1,46498.0,2021,3.4,18154,1123,Honda,Good,Honda Civic Type R Touring
2,23899.0,2019,4.9,26995,53,Volkswagen,Great,9 Volkswagen Passat 2.0T SE R-Line
3,26500.0,2022,2.3,6777,63,Volkswagen,Unknown,Volkswagen Jetta 1.5T Sport
4,37473.0,2022,3.8,1109,119,INFINITI,Unknown,INFINITI QX50 LUXE
5,114288.0,2021,4.7,18499,257,Cadillac,Great,Cadillac Escalade Sport Platinum
6,41990.0,2022,4.5,10145,100,Subaru,Good,Subaru Ascent Onyx Edition
7,105490.0,2019,4.9,19074,568,Porsche,Unknown,9 Porsche Panamera GTS
8,63998.0,2022,2.5,7311,441,BMW,Great,BMW M440 Gran Coupe i xDrive
9,28900.0,2021,5.0,29335,312,Volkswagen,Great,Volkswagen Golf GTI 2.0T S
11,42412.0,2021,4.8,22946,1147,Volvo,Good,Volvo XC60 T5 Momentum
12,40299.0,2022,4.9,13489,7262,Kia,Good,Kia Carnival LXS
13,34225.0,2017,4.6,61526,2505,Toyota,Great,7 Toyota Tundra SR5
14,50977.0,2018,4.9,40302,3307,Toyota,Good,Toyota Sequoia Limited
15,26796.0,2019,3.6,64183,1173,Toyota,Great,9 Toyota Avalon XLE
16,42762.0,2020,4.3,20162,498,Cadillac,Fair,Cadillac CT4 V-Series
17,42846.0,2020,4.3,44476,291,Volvo,Good,Volvo XC60 T6 Inscription
18,47962.0,2022,4.1,1622,959,BMW,Good,BMW X3 sDrive30i
19,23456.0,2019,3.6,17943,514,Buick,Great,9 Buick Regal Sportback Preferred II
21,37742.0,2020,4.3,48681,961,Toyota,Fair,Toyota Sienna LE
22,61000.0,2022,4.9,3462,2206,Volvo,Fair,Volvo S60 Recharge Plug-In Hybrid T8 Polestar Engineered Extended Range
23,29450.0,2019,4.8,36350,879,Subaru,Great,9 Subaru Forester Sport
24,27951.0,2017,4.7,96942,2368,Ford,Great,7 Ford Expedition EL XLT
25,32999.0,2019,4.4,25862,122,Nissan,Good,9 Nissan Murano SL
26,38103.0,2019,4.9,18702,1086,GMC,Good,9 GMC Savana 2500 Work Van
27,30703.0,2022,3.8,10308,579,Acura,Good,Acura ILX Premium & A-SPEC Packages
28,41900.0,2022,4.9,10455,2206,Volvo,Great,Volvo XC60 B5 R-Design
29,47200.0,2021,4.8,14860,610,Honda,Good,Honda Civic Type R
30,28319.0,2020,4.8,26324,2700,Honda,Good,Honda HR-V Touring
31,45785.0,2022,4.4,7843,8054,Toyota,Good,Toyota Avalon Hybrid Limited
32,131900.0,2022,3.3,18202,103,Porsche,Unknown,Porsche Taycan Cross Turismo 4S
33,38998.0,2021,4.7,15140,966,Volkswagen,Great,Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology
34,35765.0,2021,4.8,15259,8608,Toyota,Good,Toyota Camry Hybrid XSE
35,32093.0,2020,4.2,44704,632,Dodge,Great,Dodge Durango GT
36,62998.0,2020,2.3,27607,89,Toyota,Good,Toyota Sequoia Platinum
37,38995.0,2021,4.8,33597,175,Toyota,Good,Toyota Venza XLE
40,61896.0,2021,4.5,24226,843,BMW,Good,BMW X4 M40i
42,118999.0,2021,4.3,19813,86,Porsche,Great,Porsche Cayenne GTS
47,34500.0,2019,4.6,17935,394,Honda,Great,9 Honda Ridgeline RTL
48,28987.0,2018,4.7,21118,1389,Cadillac,Good,Cadillac ATS 2.0L Turbo Luxury
49,55053.0,2017,4.5,72988,2606,Toyota,Great,7 Toyota Land Cruiser V
50,31000.0,2022,4.9,10888,1518,Ford,Good,Ford Bronco Sport Base
51,53484.0,2021,4.9,17934,1631,Volvo,Great,Volvo XC90 T6 Momentum 7 Passenger
52,42990.0,2021,4.8,12143,1195,Kia,Great,Kia Stinger GT
53,29377.0,2020,4.6,25606,242,Subaru,Great,Subaru Outback Premium
54,31911.0,2021,3.8,31264,106,Buick,Good,Buick Envision Preferred
55,56577.0,2021,4.8,7995,2019,Toyota,Good,Toyota RAV4 Prime XSE
56,65990.0,2020,4.0,39639,537,BMW,Fair,BMW 745e 745e xDrive iPerformance
57,29988.0,2022,4.7,13160,406,Kia,Good,Kia Seltos SX
58,36981.0,2020,4.4,19343,306,Cadillac,Great,Cadillac CT5 Premium Luxury RWD
59,47495.0,2018,4.2,62899,600,Toyota,Good,Toyota Sequoia Limited
60,91695.0,2021,4.8,17683,3304,BMW,Unknown,BMW X7 M50i
61,23998.0,2018,4.3,96356,453,Nissan,Good,Nissan Maxima Platinum
62,32121.0,2023,1.0,1850,12,Toyota,Unknown,3 Toyota Camry SE Nightsh
63,41997.0,2022,2.3,800,135,Dodge,Good,Dodge Durango SXT
64,38900.0,2019,4.0,27723,50,GMC,Great,9 GMC Canyon Denali
65,33633.0,2020,4.4,33980,9,Cadillac,Great,Cadillac XT5 Luxury
71,39977.0,2019,4.5,28598,541,RAM,Good,9 RAM ProMaster 1500 Low Roof
72,38699.0,2021,5.0,6857,66,Acura,Great,Acura RDX Base
73,42561.0,2022,3.8,7204,656,Honda,Good,Honda Ridgeline RTL-E
74,42495.0,2022,4.9,13108,2255,Cadillac,Unknown,Cadillac XT6 Luxury FWD
75,31899.0,2018,2.0,48821,134,Acura,Great,Acura RLX Technology Package
76,58422.0,2021,4.3,30702,34,Volvo,Fair,Volvo S60 Recharge Plug-In Hybrid T8 Polestar
77,42299.0,2023,4.3,950,1479,Jeep,Unknown,3 Jeep Grand Cherokee Altitude
78,39999.0,2022,4.3,13786,122,Honda,Good,Honda Passport EX-L
79,108782.0,2023,4.7,3106,56,Cadillac,Unknown,3 Cadillac Escalade ESV Premium Luxury
80,34903.0,2019,3.6,37021,279,INFINITI,Great,9 INFINITI Q70L 3.7 LUXE
