,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
0,Porsche,2018 Porsche 718 Cayman S,7399 ,4.7,153 ,79990,Good Deal | $2460 under,2018,Good
1,Honda,2021 Honda Civic Type R Touring,18154 ,3.4,1123 ,46498,Good Deal,2021,Good
2,Volkswagen,2019 Volkswagen Passat 2.0T SE R-Line,26995 ,4.9,53 ,23899,Great Deal | $1404 under,2019,Great
3,Volkswagen,2022 Volkswagen Jetta 1.5T Sport,6777 ,2.3,63 ,26500,CPO Warrantied,2022,Unknown
4,INFINITI,2022 INFINITI QX50 LUXE,1109 ,3.8,119 ,37473,CPO Warrantied,2022,Unknown
5,Cadillac,2021 Cadillac Escalade Sport Platinum,18499 ,4.7,257 ,114288,Great Deal | $6112 under,2021,Great
6,Subaru,2022 Subaru Ascent Onyx Edition,10145 ,4.5,100 ,41990,Good Deal | $655 under,2022,Good
7,Porsche,2019 Porsche Panamera GTS,19074 ,4.9,568 ,105490,CPO Warrantied,2019,Unknown
8,BMW,2022 BMW M440 Gran Coupe i xDrive,7311 ,2.5,441 ,63998,Great Deal,2022,Great
9,Volkswagen,2021 Volkswagen Golf GTI 2.0T S,29335 ,5.0,312 ,28900,Great Deal | $4434 under,2021,Great
10,Maserati,2018 Maserati Levante Base,45356 ,Nan,68 ,54885,Good Deal,2018,Good
11,Volvo,2021 Volvo XC60 T5 Momentum,22946 ,4.8,1147 ,42412,Good Deal | $1718 under,2021,Good
12,Kia,2022 Kia Carnival LXS,13489 ,4.9,7262 ,40299,Good Deal | $1708 under,2022,Good
13,Toyota,2017 Toyota Tundra SR5,61526 ,4.6,2505 ,34225,Great Deal | $4410 under,2017,Great
14,Toyota,2018 Toyota Sequoia Limited,40302 ,4.9,3307 ,50977,Good Deal | $735 under,2018,Good
15,Toyota,2019 Toyota Avalon XLE,64183 ,3.6,1173 ,26796,Great Deal | $1420 under,2019,Great
16,Cadillac,2020 Cadillac CT4 V-Series,20162 ,4.3,498 ,42762,Fair Deal,2020,Fair
17,Volvo,2020 Volvo XC60 T6 Inscription,44476 ,4.3,291 ,42846,Good Deal,2020,Good
18,BMW,2022 BMW X3 sDrive30i,1622 ,4.1,959 ,47962,Good Deal,2022,Good
19,Buick,2019 Buick Regal Sportback Preferred II,17943 ,3.6,514 ,23456,Great Deal | $3123 under,2019,Great
20,Cadillac,2021 Cadillac CT5 Premium Luxury AWD,10205 ,Nan,112 ,45499,Great Deal | $5319 under,2021,Great
21,Toyota,2020 Toyota Sienna LE,48681 ,4.3,961 ,37742,Fair Deal,2020,Fair
22,Volvo,2022 Volvo S60 Recharge Plug-In Hybrid T8 Polestar Engineered Extended Range,3462 ,4.9,2206 ,61000,Fair Deal,2022,Fair
23,Subaru,2019 Subaru Forester Sport,36350 ,4.8,879 ,29450,Great Deal | $1964 under,2019,Great
24,Ford,2017 Ford Expedition EL XLT,96942 ,4.7,2368 ,27951,Great Deal | $3271 under,2017,Great
25,Nissan,2019 Nissan Murano SL,25862 ,4.4,122 ,32999,Good Deal | $1017 under,2019,Good
26,GMC,2019 GMC Savana 2500 Work Van,18702 ,4.9,1086 ,38103,Good Deal | $1153 under,2019,Good
27,Acura,2022 Acura ILX Premium & A-SPEC Packages,10308 ,3.8,579 ,30703,Good Deal,2022,Good
28,Volvo,2022 Volvo XC60 B5 R-Design,10455 ,4.9,2206 ,41900,Great Deal | $6303 under,2022,Great
29,Honda,2021 Honda Civic Type R ,14860 ,4.8,610 ,47200,Good Deal | $1832 under,2021,Good
30,Honda,2020 Honda HR-V Touring,26324 ,4.8,2700 ,28319,Good Deal,2020,Good
31,Toyota,2022 Toyota Avalon Hybrid Limited,7843 ,4.4,8054 ,45785,Good Deal | $647 under,2022,Good
32,Porsche,2022 Porsche Taycan Cross Turismo 4S,18202 ,3.3,103 ,131900,CPO Warrantied,2022,Unknown
33,Volkswagen,2021 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,15140 ,4.7,966 ,38998,Great Deal | $2126 under,2021,Great
34,Toyota,2021 Toyota Camry Hybrid XSE,15259 ,4.8,8608 ,35765,Good Deal | $1035 under,2021,Good
35,Dodge,2020 Dodge Durango GT,44704 ,4.2,632 ,32093,Great Deal | $3321 under,2020,Great
36,Toyota,2020 Toyota Sequoia Platinum,27607 ,2.3,89 ,62998,Good Deal | $1988 under,2020,Good
37,Toyota,2021 Toyota Venza XLE,33597 ,4.8,175 ,38995,Good Deal | $392 under,2021,Good
38,Buick,2019 Buick Regal Sportback Preferred II,17943 ,3.6,514 ,23456,Great Deal | $3123 under,2019,Great
39,Cadillac,2021 Cadillac CT5 Premium Luxury AWD,10205 ,Nan,112 ,45499,Great Deal | $5319 under,2021,Great
40,BMW,2021 BMW X4 M40i,24226 ,4.5,843 ,61896,Good Deal,2021,Good
41,Cadillac,2021 Cadillac XT6 Premium Luxury AWD,35811 ,Nan,299 ,45999,Great Deal | $7368 under,2021,Great
42,Porsche,2021 Porsche Cayenne GTS,19813 ,4.3,86 ,118999,Great Deal,2021,Great
43,Volvo,2022 Volvo XC60 B5 R-Design,10455 ,4.9,2206 ,41900,Great Deal | $6303 under,2022,Great
44,Honda,2021 Honda Civic Type R ,14860 ,4.8,610 ,47200,Good Deal | $1832 under,2021,Good
45,Volvo,2022 Volvo S60 Recharge Plug-In Hybrid T8 Polestar Engineered Extended Range,3462 ,4.9,2206 ,61000,Fair Deal,2022,Fair
46,Subaru,2019 Subaru Forester Sport,36350 ,4.8,879 ,29450,Great Deal | $1964 under,2019,Great
47,Honda,2019 Honda Ridgeline RTL,17935 ,4.6,394 ,34500,Great Deal | $3484 under,2019,Great
48,Cadillac,2018 Cadillac ATS 2.0L Turbo Luxury,21118 ,4.7,1389 ,28987,Good Deal | $971 under,2018,Good
49,Toyota,2017 Toyota Land Cruiser V8,72988 ,4.5,2606 ,55053,Great Deal,2017,Great
50,Ford,2022 Ford Bronco Sport Base,10888 ,4.9,1518 ,31000,Good Deal | $865 under,2022,Good
51,Volvo,2021 Volvo XC90 T6 Momentum 7 Passenger,17934 ,4.9,1631 ,53484,Great Deal,2021,Great
52,Kia,2021 Kia Stinger GT,12143 ,4.8,1195 ,42990,Great Deal | $3003 under,2021,Great
53,Subaru,2020 Subaru Outback Premium,25606 ,4.6,242 ,29377,Great Deal | $3665 under,2020,Great
54,Buick,2021 Buick Envision Preferred,31264 ,3.8,106 ,31911,Good Deal,2021,Good
55,Toyota,2021 Toyota RAV4 Prime XSE,7995 ,4.8,2019 ,56577,Good Deal,2021,Good
56,BMW,2020 BMW 745e 745e xDrive iPerformance,39639 ,4.0,537 ,65990,Fair Deal,2020,Fair
57,Kia,2022 Kia Seltos SX,13160 ,4.7,406 ,29988,Good Deal,2022,Good
58,Cadillac,2020 Cadillac CT5 Premium Luxury RWD,19343 ,4.4,306 ,36981,Great Deal | $5078 under,2020,Great
59,Toyota,2018 Toyota Sequoia Limited,62899 ,4.2,600 ,47495,Good Deal | $1248 under,2018,Good
60,BMW,2021 BMW X7 M50i,17683 ,4.8,3304 ,91695,CPO Warrantied,2021,Unknown
61,Nissan,2018 Nissan Maxima Platinum,96356 ,4.3,453 ,23998,Good Deal | $869 under,2018,Good
62,Toyota,2023 Toyota Camry SE Nightsh,1850 ,1.0,12 ,32121,CPO Warrantied,2023,Unknown
63,Dodge,2022 Dodge Durango SXT,800 ,2.3,135 ,41997,Good Deal,2022,Good
64,GMC,2019 GMC Canyon Denali,27723 ,4.0,50 ,38900,Great Deal | $1969 under,2019,Great
65,Cadillac,2020 Cadillac XT5 Luxury,33980 ,4.4,9 ,33633,Great Deal | $5835 under,2020,Great
66,Subaru,2020 Subaru Outback Premium,25606 ,4.6,242 ,29377,Great Deal | $3665 under,2020,Great
67,Toyota,2021 Toyota RAV4 Prime XSE,7995 ,4.8,2019 ,56577,Good Deal,2021,Good
68,Buick,2021 Buick Envision Preferred,31264 ,3.8,106 ,31911,Good Deal,2021,Good
69,BMW,2021 BMW X7 M50i,17683 ,4.8,3304 ,91695,CPO Warrantied,2021,Unknown
70,Nissan,2018 Nissan Maxima Platinum,96356 ,4.3,453 ,23998,Good Deal | $869 under,2018,Good
71,RAM,2019 RAM ProMaster 1500 Low Roof,28598 ,4.5,541 ,39977,Good Deal,2019,Good
72,Acura,2021 Acura RDX Base,6857 ,5.0,66 ,38699,Great Deal | $2107 under,2021,Great
73,Honda,2022 Honda Ridgeline RTL-E,7204 ,3.8,656 ,42561,Good Deal | $237 under,2022,Good
74,Cadillac,2022 Cadillac XT6 Luxury FWD,13108 ,4.9,2255 ,42495,CPO Warrantied,2022,Unknown
75,Acura,2018 Acura RLX Technology Package,48821 ,2.0,134 ,31899,Great Deal | $1789 under,2018,Great
76,Volvo,2021 Volvo S60 Recharge Plug-In Hybrid T8 Polestar,30702 ,4.3,34 ,58422,Fair Deal,2021,Fair
77,Jeep,2023 Jeep Grand Cherokee Altitude,950 ,4.3,1479 ,42299,CPO Warrantied,2023,Unknown
78,Honda,2022 Honda Passport EX-L,13786 ,4.3,122 ,39999,Good Deal,2022,Good
79,Cadillac,2023 Cadillac Escalade ESV Premium Luxury,3106 ,4.7,56 ,108782,CPO Warrantied,2023,Unknown
80,INFINITI,2019 INFINITI Q70L 3.7 LUXE,37021 ,3.6,279 ,34903,Great Deal | $4028 under,2019,Great
81,Nissan,2022 Nissan Frontier S,2684 ,Nan,28 ,36702,Good Deal | $748 under,2022,Good
82,Cadillac,2018 Cadillac Escalade ESV Premium Luxury,18259 ,4.7,257 ,66145,Good Deal | $3260 under,2018,Good
83,Toyota,2023 Toyota Camry SE,825 ,4.5,190 ,31194,CPO Warrantied,2023,Unknown
84,BMW,2022 BMW 230 i,9651 ,4.8,548 ,39995,Fair Deal,2022,Fair
85,Volkswagen,2021 Volkswagen Jetta 1.4T S,8571 ,4.4,179 ,22240,Fair Deal,2021,Fair
86,Ford,2020 Ford F-150 XLT,18141 ,2.6,210 ,44590,Good Deal | $958 under,2020,Good
87,Nissan,2022 Nissan Frontier PRO-4X,9900 ,2.7,124 ,41990,Good Deal,2022,Good
88,Porsche,2021 Porsche Macan GTS,21618 ,4.7,1045 ,76672,Good Deal | $605 under,2021,Good
89,BMW,2019 BMW Z4 sDrive30i,34244 ,4.7,1234 ,46498,Good Deal | $1359 under,2019,Good
90,Kia,2019 Kia Cadenza Premium,46341 ,4.5,1150 ,25299,Good Deal | $821 under,2019,Good
91,Toyota,2022 Toyota Tundra Hybrid Limited,754 ,3.1,440 ,72821,CPO Warrantied,2022,Unknown
92,Rolls-Royce,2021 Rolls-Royce Ghost ,2422 ,3.9,281 ,374990,CPO Warrantied,2021,Unknown
93,Chevrolet,2022 Chevrolet Colorado LT,3490 ,4.7,292 ,35990,Great Deal | $4104 under,2022,Great
94,Kia,2023 Kia Sportage Hybrid LX,2000 ,3.9,266 ,33111,CPO Warrantied,2023,Unknown
95,Chevrolet,2022 Chevrolet Suburban LS,9650 ,1.3,13 ,58225,CPO Warrantied,2022,Unknown
96,INFINITI,2020 INFINITI QX60 Luxe,13978 ,4.8,832 ,38987,Great Deal,2020,Great
97,Honda,2018 Honda HR-V EX,42071 ,4.8,2923 ,22405,Good Deal | $378 under,2018,Good
98,Ford,2020 Ford Expedition Limited,49998 ,4.5,745 ,51974,Good Deal | $1926 under,2020,Good
99,Ford,2021 Ford Expedition XL,12062 ,3.5,525 ,48499,Good Deal | $1144 under,2021,Good
100,Acura,2020 Acura TLX V6 w/Technology Package,52527 ,4.8,1498 ,31826,Good Deal | $347 under,2020,Good
101,Volvo,2021 Volvo XC60 Recharge Plug-In Hybrid T8 Polestar,22114 ,4.8,5748 ,61500,Good Deal,2021,Good
102,Toyota,2022 Toyota Sienna LE,1482 ,4.4,8054 ,49916,Fair Deal,2022,Fair
103,BMW,2020 BMW X2 xDrive28i,24178 ,3.7,125 ,38900,Good Deal,2020,Good
104,Toyota,2023 Toyota Camry XSE,2761 ,4.6,2828 ,36991,Hot Car,2023,Unknown
105,Toyota,2019 Toyota Highlander XLE,36164 ,4.3,961 ,37998,Good Deal | $705 under,2019,Good
106,Ford,2019 Ford Fusion Titanium,57244 ,Nan,29 ,26175,Good Deal,2019,Good
107,Volkswagen,2021 Volkswagen Jetta 1.4T S,8571 ,4.4,179 ,22240,Fair Deal,2021,Fair
108,Ford,2020 Ford F-150 XLT,18141 ,2.6,210 ,44590,Good Deal | $958 under,2020,Good
109,Nissan,2022 Nissan Frontier PRO-4X,9900 ,2.7,124 ,41990,Good Deal,2022,Good
110,Nissan,2019 Nissan Maxima 3.5 SL,77297 ,3.8,48 ,24995,Good Deal,2019,Good
111,Maserati,2018 Maserati Levante Base,44684 ,Nan,Nan,51985,Good Deal,2018,Good
112,Ford,2020 Ford Expedition Limited,49998 ,4.5,745 ,51974,Good Deal | $1926 under,2020,Good
113,Ford,2021 Ford Expedition XL,12062 ,3.5,525 ,48499,Good Deal | $1144 under,2021,Good
114,Acura,2020 Acura TLX V6 w/Technology Package,52527 ,4.8,1498 ,31826,Good Deal | $347 under,2020,Good
115,Volkswagen,2016 Volkswagen Touareg TDI Lux,64426 ,4.4,313 ,30586,Great Deal | $3282 under,2016,Great
116,Porsche,2021 Porsche Macan GTS,21618 ,4.7,1045 ,76672,Good Deal | $605 under,2021,Good
117,BMW,2020 BMW X4 xDrive30i,28982 ,4.7,126 ,44000,Good Deal | $975 under,2020,Good
118,Subaru,2021 Subaru Legacy Premium,12025 ,4.7,46 ,29993,Good Deal,2021,Good
119,GMC,2022 GMC Acadia AT4,8183 ,4.0,352 ,45997,Great Deal | $2374 under,2022,Great
120,Subaru,2020 Subaru Impreza Sport,12971 ,3.9,342 ,25000,Good Deal | $198 under,2020,Good
121,Volvo,2019 Volvo XC40 T5 Momentum,33257 ,4.8,527 ,34990,Great Deal | $4597 under,2019,Great
122,Chevrolet,2021 Chevrolet Equinox LS,47496 ,4.5,565 ,25046,Good Deal | $891 under,2021,Good
123,Toyota,2021 Toyota Land Cruiser Heritage Edition,5346 ,4.8,700 ,125000,CPO Warrantied,2021,Unknown
124,Volkswagen,2021 Volkswagen Jetta 1.4T S,33686 ,4.4,179 ,21748,Great Deal | $2707 under,2021,Great
125,Volkswagen,2021 Volkswagen Arteon 2.0T SE,3815 ,4.8,789 ,34990,Good Deal | $173 under,2021,Good
126,Toyota,2022 Toyota Prius Prime LE,240 ,4.3,961 ,41607,Fair Deal,2022,Fair
127,Volvo,2019 Volvo XC40 T5 Momentum,33257 ,4.8,527 ,34990,Great Deal | $4597 under,2019,Great
128,Chevrolet,2021 Chevrolet Equinox LS,47496 ,4.5,565 ,25046,Good Deal | $891 under,2021,Good
129,BMW,2022 BMW X3 xDrive30i,2979 ,4.8,70 ,49994,Good Deal | $173 under,2022,Good
130,Volvo,2021 Volvo XC40 T5 R-Design,9662 ,4.6,245 ,43998,Good Deal | $1363 under,2021,Good
131,Toyota,2021 Toyota Land Cruiser Heritage Edition,5346 ,4.8,700 ,125000,CPO Warrantied,2021,Unknown
132,BMW,2020 BMW X4 xDrive30i,28982 ,4.7,126 ,44000,Good Deal | $975 under,2020,Good
133,Subaru,2021 Subaru Legacy Premium,12025 ,4.7,46 ,29993,Good Deal,2021,Good
134,Volkswagen,2022 Volkswagen Atlas 2.0T SEL,9152 ,4.8,1045 ,46490,Good Deal | $897 under,2022,Good
