,Title,Mileage,Price,deal_status,Features,Rating,Rating-Count
0,2013 Toyota FJ Cruiser Base," 83,448 mi.","$29,115","Great Deal | $2,335 under",Nan,4.3,(959 reviews)
1,2013 Toyota FJ Cruiser Base," 83,448 mi.","$29,115","Great Deal | $2,335 under",Nan,4.3,(959 reviews)
2,2022 Hyundai Santa Fe XRT," 3,244 mi.","$34,941",Home Delivery,Nan,5.0,"(3,368 reviews)"
3,2022 Mercedes-Benz GLC 300 Base 4MATIC, 0 mi.,"$53,660",Home Delivery,Nan,4.6,(921 reviews)
4,2021 Mercedes-Benz GLC 300 Base 4MATIC," 7,658 mi.","$47,969",Home Delivery,Nan,5.0,"(1,516 reviews)"
5,2019 Lexus LX 570 570," 42,469 mi.","$68,980",Great Deal,"keyless entry, LED Headlights",3.2,(24 reviews)
6,1972 Pontiac GTO 455," 76,284 mi.","$42,790",Home Delivery,"keyless entry, LED Headlights",4.4,(301 reviews)
7,2020 Mercedes-Benz AMG CLA 45 Base 4MATIC," 15,282 mi.","$57,900",Good Deal,"keyless entry, LED Headlights",4.7,(410 reviews)
8,2018 BMW 430 i," 28,763 mi.","$29,925",Great Deal,Nan,3.9,(16 reviews)
9,2013 Toyota 4Runner Limited," 114,935 mi.","$25,992",Good Deal | $956 under,Nan,3.5,(41 reviews)
10,2017 McLaren 570S Base," 13,485 mi.","$159,888",Virtual Appointments,Nan,4.1,(121 reviews)
11,2014 Maserati Ghibli S Q4," 64,663 mi.","$24,300","Great Deal | $1,193 under","Keyless Start, keyless entry, headlight control - auto highbeam, LED Headlights, USB Port, Heated Seats, Cooled Seats, Heated Steering Wheel, driver monitor, Automatic Emergency Braking, collision warning system, Backup Camera, Lane Departure Warning, Rear Cross Traffic Alert, parking assistance, parking distance sensors",4.5,(25 reviews)
12,2016 Kia Optima LX Turbo," 73,412 mi.","$12,899","Great Deal | $4,052 under",Nan,4.6,(94 reviews)
13,2011 Cadillac SRX Premium Collection," 116,231 mi.","$12,495",Good Deal,"keyless entry, LED Headlights, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, autonomous drive, traffic sign recognition, Rear Cross Traffic Alert, dynamic steering, driver monitor",5.0,(13 reviews)
14,2021 Audi Q5 e 55 Premium," 20,618 mi.","$48,000",Home Delivery,Nan,5.0,"(4,877 reviews)"
15,2018 GMC Sierra 1500 SLT," 72,657 mi.","$36,999","Great Deal | $2,384 under",keyless entry,4.9,(470 reviews)
16,2019 FIAT 124 Spider Abarth," 37,123 mi.","$26,780",Good Deal,"keyless entry, Keyless Start",4.8,(165 reviews)
17,2018 Acura RLX Sport Hybrid Advance Package," 31,803 mi.","$38,995",Fair Deal,Nan,4.8,(179 reviews)
18,2019 Nissan Leaf SV," 49,657 mi.","$28,213",Fair Deal,"keyless entry, headlight control - auto highbeam, Alloy Wheels, LED Headlights, Heated Seats",3.3,(343 reviews)
19,2011 BMW 550 i," 113,318 mi.","$19,500",Fair Deal,"headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, Apple CarPlay/Android Auto, USB Port, Heated Seats, Heated Steering Wheel, Memory Seat, Sunroof/Moonroof, dynamic steering, collision warning system, parking assistance, Rear Cross Traffic Alert, parking distance sensors",3.0,(35 reviews)
20,2015 Chrysler 300 Limited," 109,790 mi.","$17,895",Good Deal,Nan,4.7,(0 reviews)
