,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
1,35115,4.5,23,2018,28592.0,Ford,Good,18 Ford Edge SEL
3,19097,5.0,359,2020,39958.0,Acura,Good, Acura TLX V6 Advance
4,64426,4.4,313,2016,31586.0,Volkswagen,Great,16 Volkswagen Touareg TDI Lux
5,1754,4.6,1243,2022,35000.0,Toyota,Great, Toyota Corolla Cross LE
6,13044,4.5,363,2019,45495.0,BMW,Good,19 BMW 540 i
7,13786,4.3,122,2022,39999.0,Honda,Good, Honda Passport EX-L
8,35729,4.7,1234,2020,65998.0,BMW,Unknown, BMW 840 Gran Coupe i
9,30312,4.9,1820,2020,75887.0,Mercedes-Benz,Unknown, Mercedes-Benz S-Class S 560 4MATIC
10,24007,4.2,418,2022,43327.0,INFINITI,Good, INFINITI QX55 LUXE
11,44637,4.6,2832,2020,28075.0,Kia,Good, Kia Sorento LX
12,7561,4.9,143,2022,30989.0,Chevrolet,Good, Chevrolet Trailblazer RS
13,70669,4.6,1243,2019,26000.0,Toyota,Good,19 Toyota Camry Hybrid LE
15,64076,4.7,460,2017,37500.0,Toyota,Good,17 Toyota Highlander Hybrid Limited Platinum
16,21260,4.6,1068,2021,57994.0,BMW,Good,1 BMW 540 i
17,5124,4.9,1211,2022,53995.0,Chevrolet,Unknown, Chevrolet Tahoe Commercial Fleet
18,105,4.2,631,2022,84000.0,Jeep,Unknown, Jeep Wrangler Unlimited Rubicon 39
19,6000,4.9,1959,2022,27990.0,Volkswagen,Good, Volkswagen Jetta 1.5T SE
21,800,2.3,135,2022,41997.0,Dodge,Good, Dodge Durango SXT
22,11992,4.8,186,2022,59888.0,Acura,Good, Acura MDX A-Spec
23,53272,2.7,184,2019,41990.0,BMW,Good,19 BMW 440 i
24,16712,4.1,59,2020,24494.0,Buick,Great, Buick Encore GX Preferred
25,1379,4.8,868,2022,50900.0,Alfa Romeo,Good, Alfa Romeo Stelvio Veloce
26,2000,3.9,266,2023,33111.0,Kia,Unknown,3 Kia Sportage Hybrid LX
27,104466,4.7,326,2017,25933.0,Honda,Good,17 Honda Ridgeline RTL-T
28,12971,3.9,342,2020,25000.0,Subaru,Good, Subaru Impreza Sport
29,33382,4.9,394,2020,81200.0,BMW,Great, BMW M850 Gran Coupe i xDrive
30,9734,1.8,198,2020,47996.0,BMW,Good, BMW 530e xDrive iPerformance
31,12499,4.8,548,2020,43631.0,Cadillac,Great, Cadillac CT5 Sport AWD
32,34237,4.9,204,2019,39595.0,Cadillac,Great,19 Cadillac CT6 Luxury
33,29214,4.9,119,2020,37989.0,BMW,Great, BMW X3 xDrive30i
34,35217,4.6,945,2021,50406.0,Toyota,Good,1 Toyota Sienna XSE 7 Passenger
35,25390,4.8,599,2019,27900.0,Honda,Great,19 Honda Passport Sport
36,7531,4.7,994,2020,29987.0,Honda,Good, Honda Accord Sport 1.5T
37,18548,4.9,357,2021,35290.0,Toyota,Good,1 Toyota Camry XSE
38,17998,4.8,642,2021,56579.0,BMW,Great,1 BMW X5 sDrive40i
39,16757,4.9,535,2021,54390.0,Jeep,Fair,1 Jeep Gladiator Mojave
40,21756,4.7,415,2021,44695.0,Acura,Great,1 Acura RDX A-Spec
41,5181,4.9,438,2022,106745.0,Cadillac,Great, Cadillac Escalade Premium Luxury
42,25188,4.8,2345,2020,28990.0,Honda,Fair, Honda Insight EX
45,14974,3.0,266,2022,38996.0,Nissan,Great, Nissan Maxima SR
47,825,4.5,190,2023,31194.0,Toyota,Unknown,3 Toyota Camry SE
48,32950,4.8,1170,2019,43998.0,INFINITI,Great,19 INFINITI QX80 Luxe
49,8827,5.0,71,2020,39499.0,Cadillac,Great, Cadillac XT4 Sport
50,8925,3.9,139,2021,78688.0,BMW,Good,1 BMW 840 Gran Coupe i xDrive
52,30079,4.5,12,2021,47726.0,RAM,Good,1 RAM 1500 Laramie
53,22116,2.7,184,2020,39990.0,BMW,Great, BMW 430 Gran Coupe i
54,49804,4.2,1164,2019,34734.0,Chrysler,Great,19 Chrysler Pacifica Hybrid Touring Plus
55,18702,4.9,1086,2019,38103.0,GMC,Good,19 GMC Savana 2500 Work Van
56,65527,2.7,130,2018,28772.0,Chevrolet,Great,18 Chevrolet Traverse LT Cloth
57,3998,3.5,140,2022,53718.0,Kia,Unknown, Kia EV6 Wind
58,9726,4.5,23,2021,58592.0,Ford,Good,1 Ford Bronco Outer Banks Advanced
59,33209,2.8,64,2019,25613.0,Kia,Great,19 Kia Sportage EX
60,1124,3.3,268,2020,34988.0,Cadillac,Great, Cadillac CT4 Premium Luxury
61,16716,4.6,532,2022,48984.0,INFINITI,Good, INFINITI QX55 SENSORY
62,905,4.7,1051,2022,47994.0,Toyota,Good, Toyota Highlander Hybrid LE
63,1190,4.8,546,2022,56995.0,BMW,Fair, BMW M340 i
64,6860,3.9,829,2021,41656.0,Toyota,Good,1 Toyota Avalon Hybrid Limited
65,46096,4.6,827,2019,25500.0,INFINITI,Good,19 INFINITI QX30 Luxe
66,18764,4.9,702,2020,71998.0,Cadillac,Great, Cadillac Escalade ESV Premium Luxury
67,8419,5.0,644,2022,57000.0,Volvo,Great, Volvo V90 Cross Country B6 AWD
68,33762,2.7,184,2020,38990.0,BMW,Great, BMW X2 xDrive28i
69,14534,4.8,655,2021,75429.0,BMW,Great,1 BMW X7 xDrive40i
70,8548,4.8,2005,2020,85995.0,BMW,Great, BMW M850 Gran Coupe i xDrive
72,29192,1.6,15,2016,51998.0,Porsche,Great,16 Porsche Cayman 
73,13210,4.5,843,2021,73880.0,BMW,Good,1 BMW 740 i xDrive
74,21132,4.7,1780,2020,71971.0,BMW,Great, BMW 750 i xDrive
75,41363,4.9,850,2021,48700.0,Nissan,Great,1 Nissan Armada SL
76,3090,4.8,946,2022,24900.0,Chevrolet,Unknown, Chevrolet Malibu 1LS
79,31320,3.3,232,2019,36942.0,Chevrolet,Great,19 Chevrolet Blazer Premier
82,5652,4.6,951,2022,28999.0,Volkswagen,Great, Volkswagen Tiguan 2.0T S
83,19578,4.8,274,2020,37200.0,INFINITI,Great, INFINITI QX50 Luxe
84,18100,4.6,317,2021,75550.0,Porsche,Great,1 Porsche Cayenne Base
93,21751,4.9,832,2022,85900.0,BMW,Good, BMW X5 M50i
94,4161,4.6,308,2022,44987.0,GMC,Great, GMC Acadia Denali
95,2385,4.6,245,2023,72998.0,Volvo,Unknown,3 Volvo XC90 B6 Ultimate 7-Seater
97,92117,3.1,1207,2015,15000.0,Ford,Great,15 Ford Edge Titanium
99,2562,4.8,1839,2023,34950.0,Kia,Unknown,3 Kia K5 GT-Line
100,19903,4.9,6045,2021,36500.0,Subaru,Great,1 Subaru Outback Touring
101,26300,4.4,760,2021,37991.0,Kia,Good,1 Kia Sorento Hybrid EXFWD
102,16009,4.4,3682,2021,52310.0,Ford,Great,1 Ford Expedition XLT
103,11774,3.6,1004,2022,49555.0,Toyota,Good, Toyota Highlander XSE
104,48278,4.1,59,2018,32009.0,Buick,Great,18 Buick Enclave Premium
105,195,4.3,960,2022,61455.0,Toyota,Unknown, Toyota RAV4 Prime SE
106,28803,3.9,439,2021,71999.0,Toyota,Good,1 Toyota Sequoia TRD Pro
107,17930,4.5,1026,2020,71443.0,BMW,Great, BMW 750 i xDrive
108,11634,4.2,1342,2022,39401.0,Kia,Great, Kia Stinger GT-Line
109,28081,4.5,363,2019,45245.0,BMW,Good,19 BMW 540 i
110,17134,4.7,2833,2020,48899.0,Volvo,Great, Volvo XC90 T6 Momentum 7 Passenger
111,40406,4.6,1072,2019,39995.0,Volvo,Fair,19 Volvo V90 T5 R-Design
112,22181,3.1,1862,2022,38053.0,Kia,Great, Kia Stinger GT-Line
113,15171,3.8,158,2019,84495.0,Cadillac,Good,19 Cadillac CT6-V 4.2L Blackwing Twin Turbo
114,16280,4.8,2102,2021,46669.0,Volvo,Good,1 Volvo XC60 T5 Inscription
115,29628,4.9,5850,2019,24000.0,Chrysler,Great,19 Chrysler 300 Limited
116,31882,4.5,23,2015,19931.0,Ford,Good,15 Ford Escape SE
117,13664,4.7,142,2021,29995.0,Acura,Good,1 Acura ILX Base
119,22998,2.7,130,2021,28749.0,Chevrolet,Good,1 Chevrolet Trailblazer LT
120,16205,4.5,40,2020,249795.0,Ferrari,Unknown, Ferrari Portofino Base
121,19945,4.1,10,2021,41991.0,GMC,Good,1 GMC Acadia AT4
123,7864,5.0,283,2022,129990.0,Porsche,Good, Porsche Taycan Cross Turismo 4
124,4089,4.0,853,2022,67992.0,Porsche,Good, Porsche Macan Base
126,4044,4.7,600,2022,51700.0,RAM,Good, RAM 1500 Big Horn
130,11877,4.1,539,2021,25921.0,Nissan,Great,1 Nissan Rogue Sport SV
131,1507,4.9,1479,2022,49970.0,Volkswagen,Fair, Volkswagen ID.4 Pro
132,34505,4.9,850,2021,59900.0,Nissan,Good,1 Nissan Armada Platinum
133,20042,4.9,1531,2021,54581.0,Ford,Great,1 Ford F-150 Lariat
134,66644,4.7,4171,2018,22495.0,GMC,Great,18 GMC Terrain SLE
135,6516,4.8,507,2022,29187.0,Mitsubishi,Good, Mitsubishi Eclipse Cross SE
136,19269,2.7,36,2022,39500.0,Kia,Good, Kia Carnival LXS
137,23270,4.6,1683,2021,53995.0,BMW,Good,1 BMW M340 i xDrive
138,3452,4.9,2595,2021,45023.0,Kia,Good,1 Kia Stinger GT
139,36008,3.5,843,2019,46991.0,Nissan,Great,19 Nissan Armada Platinum
140,38765,4.2,1640,2021,40835.0,Toyota,Great,1 Toyota Tacoma TRD Sport
141,11295,4.9,3516,2022,58577.0,BMW,Good, BMW M340 i xDrive
142,37238,3.5,563,2021,39900.0,Kia,Great,1 Kia Stinger GT
143,53144,5.0,622,2019,26609.0,Buick,Good,19 Buick Regal TourX Essence
144,26146,3.8,158,2019,74994.0,Cadillac,Great,19 Cadillac CT6-V 4.2L Blackwing Twin Turbo
145,9328,3.6,492,2021,60976.0,BMW,Great,1 BMW X5 xDrive40i
147,9651,4.8,546,2022,39995.0,BMW,Good, BMW 230 i
150,9646,4.0,461,2020,31455.0,Volkswagen,Good, Volkswagen Golf GTI 2.0T S
151,31531,2.4,11,2021,39569.0,Kia,Good,1 Kia Sorento SX-PRESTIGE
152,1392,3.7,63,2022,58967.0,BMW,Fair, BMW 430 i
156,21818,4.9,828,2017,37999.0,Mercedes-Benz,Good,17 Mercedes-Benz AMG CLA 45 Base 4MATIC
157,48281,4.8,274,2020,33900.0,INFINITI,Great, INFINITI QX50 Luxe
158,19639,4.9,773,2021,26988.0,Toyota,Great,1 Toyota Corolla Hatchback XSE
159,20358,4.1,253,2020,84900.0,Porsche,Good, Porsche Panamera Base
160,23760,4.8,600,2022,70988.0,BMW,Unknown, BMW 840 Gran Coupe i
161,1100,2.2,64,2023,38705.0,Kia,Unknown,3 Kia Sportage X-Pro Prestige
162,10495,4.1,959,2022,77462.0,BMW,Good, BMW X3 M AWD
163,11648,4.0,92,2022,39900.0,Subaru,Good, Subaru Ascent Onyx Edition
164,5314,4.6,291,2022,32767.0,Chevrolet,Good, Chevrolet Equinox RS
165,5332,4.8,1340,2021,77777.0,Porsche,Great,1 Porsche 718 Cayman Base
166,63749,4.9,452,2016,37895.0,Toyota,Great,16 Toyota Sequoia Platinum
167,9149,4.9,1469,2021,39999.0,Dodge,Good,1 Dodge Charger R/T
168,23351,2.4,442,2021,39990.0,Toyota,Good,1 Toyota Venza LE
169,68717,5.0,622,2018,33336.0,GMC,Great,18 GMC Canyon Denali
170,2205,4.5,541,2022,56632.0,Jeep,Good, Jeep Grand Cherokee L Overland
171,6583,3.8,165,2022,29895.0,Subaru,Fair, Subaru Crosstrek Base
172,6666,4.4,899,2021,35990.0,Buick,Good,1 Buick Envision Preferred
173,40714,4.8,1838,2020,46977.0,BMW,Good, BMW M340 i xDrive
175,50459,3.7,136,2017,22030.0,Nissan,Unknown,17 Nissan Pathfinder S
176,3069,2.8,64,2022,40835.0,Kia,Fair, Kia Niro EV EX
177,12297,2.9,147,2021,38917.0,Acura,Good,1 Acura TLX Technology
178,947,4.8,1488,2022,74936.0,Ford,Great, Ford Mustang Mach-E GT
179,17048,4.0,110,2021,27991.0,Toyota,Good,1 Toyota C-HR XLE
180,2614,4.9,996,2022,59500.0,Volvo,Good, Volvo C40 Recharge Pure Electric Ultimate
181,24715,4.4,508,2020,27995.0,Honda,Good, Honda Civic Sport
183,77292,4.8,1479,2020,33985.0,Nissan,Great, Nissan Armada SL
184,2491,4.7,1047,2023,38950.0,Toyota,Unknown,3 Toyota GR86 Premium
185,30752,4.1,959,2018,24962.0,BMW,Great,18 BMW 320 i xDrive
186,17883,4.0,461,2021,46511.0,Volkswagen,Good,1 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium
187,45563,4.6,266,2020,59995.0,BMW,Great, BMW M550 i xDrive
188,29591,4.3,433,2021,49900.0,Volvo,Great,1 Volvo XC90 T6 Momentum 7 Passenger
189,37669,4.8,2345,2020,35959.0,Honda,Good, Honda Passport Touring
190,5073,4.7,828,2020,76489.0,Ford,Fair, Ford Mustang Shelby GT35
191,7414,2.5,33,2021,39999.0,Nissan,Good,1 Nissan Maxima Platinum
192,17999,4.6,307,2020,37497.0,Acura,Great, Acura MDX 3.5L
