,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details,Class,Version2,Version1
0,7399,4.7,153,2018,79990.0,Porsche,Good, Porsche 718 Cayman S,S,Cayman,718
1,18154,3.4,1123,2021,46498.0,Honda,Good, Honda Civic Type R Touring,Touring,R,Type
2,26995,4.9,53,2019,23899.0,Volkswagen,Great,9 Volkswagen Passat 2.0T SE R-Line,R-Line,SE,2.0T
3,6777,2.3,63,2022,26500.0,Volkswagen,Unknown, Volkswagen Jetta 1.5T Sport,Sport,1.5T,Jetta
4,1109,3.8,119,2022,37473.0,INFINITI,Unknown, INFINITI QX50 LUXE,LUXE,QX50,INFINITI
5,18499,4.7,257,2021,114288.0,Cadillac,Great, Cadillac Escalade Sport Platinum,Platinum,Sport,Escalade
6,10145,4.5,100,2022,41990.0,Subaru,Good, Subaru Ascent Onyx Edition,Edition,Onyx,Ascent
7,19074,4.9,568,2019,105490.0,Porsche,Unknown,9 Porsche Panamera GTS,GTS,Panamera,Porsche
8,7311,2.5,441,2022,63998.0,BMW,Great, BMW M440 Gran Coupe i xDrive,xDrive,i,Coupe
9,29335,5.0,312,2021,28900.0,Volkswagen,Great, Volkswagen Golf GTI 2.0T S,S,2.0T,GTI
10,22946,4.8,1147,2021,42412.0,Volvo,Good, Volvo XC60 T5 Momentum,Momentum,T5,XC60
11,13489,4.9,7262,2022,40299.0,Kia,Good, Kia Carnival LXS,LXS,Carnival,Kia
12,61526,4.6,2505,2017,34225.0,Toyota,Great,7 Toyota Tundra SR5,SR5,Tundra,Toyota
13,40302,4.9,3307,2018,50977.0,Toyota,Good, Toyota Sequoia Limited,Limited,Sequoia,Toyota
14,64183,3.6,1173,2019,26796.0,Toyota,Great,9 Toyota Avalon XLE,XLE,Avalon,Toyota
15,20162,4.3,498,2020,42762.0,Cadillac,Fair, Cadillac CT4 V-Series,V-Series,CT4,Cadillac
16,44476,4.3,291,2020,42846.0,Volvo,Good, Volvo XC60 T6 Inscription,Inscription,T6,XC60
17,1622,4.1,959,2022,47962.0,BMW,Good, BMW X3 sDrive30i,sDrive30i,X3,BMW
18,17943,3.6,514,2019,23456.0,Buick,Great,9 Buick Regal Sportback Preferred II,II,Preferred,Sportback
19,48681,4.3,961,2020,37742.0,Toyota,Fair, Toyota Sienna LE,LE,Sienna,Toyota
20,3462,4.9,2206,2022,61000.0,Volvo,Fair, Volvo S60 Recharge Plug-In Hybrid T8 Polestar Engineered Extended Range,Range,Extended,Engineered
21,36350,4.8,879,2019,29450.0,Subaru,Great,9 Subaru Forester Sport,Sport,Forester,Subaru
22,96942,4.7,2368,2017,27951.0,Ford,Great,7 Ford Expedition EL XLT,XLT,EL,Expedition
23,25862,4.4,122,2019,32999.0,Nissan,Good,9 Nissan Murano SL,SL,Murano,Nissan
24,18702,4.9,1086,2019,38103.0,GMC,Good,9 GMC Savana 2500 Work Van,Van,Work,2500
25,10308,3.8,579,2022,30703.0,Acura,Good, Acura ILX Premium & A-SPEC Packages,Packages,A-SPEC,&
26,10455,4.9,2206,2022,41900.0,Volvo,Great, Volvo XC60 B5 R-Design,R-Design,B5,XC60
27,14860,4.8,610,2021,47200.0,Honda,Good, Honda Civic Type R ,R,Type,Civic
28,26324,4.8,2700,2020,28319.0,Honda,Good, Honda HR-V Touring,Touring,HR-V,Honda
29,7843,4.4,8054,2022,45785.0,Toyota,Good, Toyota Avalon Hybrid Limited,Limited,Hybrid,Avalon
30,18202,3.3,103,2022,131900.0,Porsche,Unknown, Porsche Taycan Cross Turismo 4S,4S,Turismo,Cross
31,15140,4.7,966,2021,38998.0,Volkswagen,Great, Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,w/Technology,SE,V6
