,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
0,Chevrolet,2018 Chevrolet Traverse Premier,53969 ,Nan,2 ,35854,Great Deal | $2831 under,2018,Great
1,Ford,2018 Ford Edge SEL,35115 ,4.5,23 ,28592,Good Deal | $497 under,2018,Good
2,Kia,2022 Kia Carnival SX Prestige,26630 ,Nan,3 ,50668,Great Deal | $3880 under,2022,Great
3,Acura,2020 Acura TLX V6 Advance,19097 ,5.0,359 ,39958,Good Deal,2020,Good
4,Volkswagen,2016 Volkswagen Touareg TDI Lux,64426 ,4.4,313 ,31586,Great Deal | $3917 under,2016,Great
5,Toyota,2022 Toyota Corolla Cross LE,1754 ,4.6,1243 ,35000,Great Deal | $7879 under,2022,Great
6,BMW,2019 BMW 540 i,13044 ,4.5,363 ,45495,Good Deal,2019,Good
7,Honda,2022 Honda Passport EX-L,13786 ,4.3,122 ,39999,Good Deal,2022,Good
8,BMW,2020 BMW 840 Gran Coupe i,35729 ,4.7,1234 ,65998,CPO Warrantied,2020,Unknown
9,Mercedes-Benz,2020 Mercedes-Benz S-Class S 560 4MATIC,30312 ,4.9,1820 ,75887,CPO Warrantied,2020,Unknown
10,INFINITI,2022 INFINITI QX55 LUXE,24007 ,4.2,418 ,43327,Good Deal | $529 under,2022,Good
11,Kia,2020 Kia Sorento LX,44637 ,4.6,2832 ,28075,Good Deal,2020,Good
12,Chevrolet,2022 Chevrolet Trailblazer RS,7561 ,4.9,143 ,30989,Good Deal | $1286 under,2022,Good
13,Toyota,2019 Toyota Camry Hybrid LE,70669 ,4.6,1243 ,26000,Good Deal | $649 under,2019,Good
14,Honda,2020 Honda Passport ,23029 ,Nan,74 ,35995,Great Deal | $3912 under,2020,Great
15,Toyota,2017 Toyota Highlander Hybrid Limited Platinum,64076 ,4.7,460 ,37500,Good Deal,2017,Good
16,BMW,2021 BMW 540 i,21260 ,4.6,1068 ,57994,Good Deal,2021,Good
17,Chevrolet,2022 Chevrolet Tahoe Commercial Fleet,5124 ,4.9,1211 ,53995,Hot Car,2022,Unknown
18,Jeep,2022 Jeep Wrangler Unlimited Rubicon 392,105 ,4.2,631 ,84000,CPO Warrantied,2022,Unknown
19,Volkswagen,2022 Volkswagen Jetta 1.5T SE,6000 ,4.9,1959 ,27990,Good Deal,2022,Good
